Date,Observer,Temperature (F),Wind (mph),StudyLocation,Treatment ,StartTime,PatchID,PointID,Species2min,SpeciesCode2min,Distance2min,Species5min,SpeciesCode5min,Distance5min
4/1/2024,BO,46,2,Garden City,Urban,10:02,GC18,GC18.2,Eurasian Collared Dove,EUCD,32.9,Eurasian Collared Dove,EUCD,27.3
4/29/2024,JS/NB,50,3,Topeka,Urban,8:09,8,8.2,European Starling,EUST,33,Tufted Titmouse,TUTI,Only Heard
5/3/2024,JS/NB,61,9,Topeka,Urban,10:24,7,7.1,American Robin,AMRO,33,Least Flycatcher,LEFL,Only Heard
8/20/2024,ED,65,3,Topeka,WMA,7:55,13,13.2,Indigo Bunting,INBU,33,Northern Cardinal,NOCA,52
8/20/2024,ED,69,5,Topeka,WMA,9:45,19,19.2,Northern Cardinal,NOCA,33,Great Blue Heron,GBHE,107
4/23/2024,ED,59,5,McPherson,WMA,9:00,IN8,IN8.3,American Goldfinch,AGOL,33,American Goldfinch,AGOL,58.3
4/23/2024,ED,59,5,McPherson,WMA,9:00,IN8,IN8.3,Eastern Phoebe,EAPH,33,Eastern Meadowlark,EAME,108.2
7/24/2024,"CL,GA",66,4,McPherson,WMA,7:12,IN7,IN7.1,Red-winged Blackbird,RWBL,33,NA,NA,NA
8/5/2024,"CL,GA",74,7,McPherson,WMA,8:18,IN2,IN2.2,Barn Swallow,BARS,33,Eastern Meadowlark,EAME,69
8/15/2024,CL,74,5,McPherson,Urban,8:14,MC7,MC7.2,House Sparrow,HOSP,33,European Starling,EUST,32
4/5/2024,BO,50,4,Garden City,Urban,9:39,GC 6,GC 6.1,Eurasian Collared Dove,EUCD,33,European Starling,EUST,48
4/23/2024,NB,57,7,Topeka,Urban,8:28,22,22.2,American Robin,AMRO,33.1,European Starling,EUST,25.2
8/26/2024,"BO, RR",69,2,Garden City,Urban,7:23,GC 21,GC 21.2,Eurasian Collared Dove,EUCD,33.4,European Starling,EUST,21
8/26/2024,"BO, RR",70,1,Garden City,Urban,7:54,GC 20,GC 20.3,Eurasian Collared Dove,EUCD,33.4,NA,NA,NA
4/12/2024,JS/NB,42,7,Topeka,WMA,7:42,10,10.1,Northern Cardinal,NOCA,33.5,White-throated Sparrow,WTSP,Only Heard
4/12/2024,JS/NB,49,9,Topeka,WMA,9:22,5,5.1,Red-winged Blackbird ,RWBL,33.5,Red-winged Blackbird ,RWBL,48.6
4/8/2024,JS/NB,56,4,Topeka,WMA,10:49,17,17.2,Eastern Bluebird,EABL,33.7,White-breasted Nuthatch,WBNU,42.2
4/4/2024,"ED, NB, JS",49,10,McPherson,Urban,10:56,MC7,MC7.1,Mourning Dove,MODO,34,American Robin,AMRO,58
